gene_identifier,gene_symbol
ENSMUSG00000026251,Chrnd
ENSMUSG00000026253,Chrng
ENSMUSG00000027107,Chrna1
ENSMUSG00000086382,Chrna1os
ENSMUSG00000040495,Chrm4
ENSMUSG00000074939,Chrm5
ENSMUSG00000027577,Chrna4
ENSMUSG00000027950,Chrnb2
ENSMUSG00000029205,Chrna9
ENSMUSG00000045613,Chrm2
ENSMUSG00000030525,Chrna7
ENSMUSG00000066279,Chrna10
ENSMUSG00000031492,Chrnb3
ENSMUSG00000031491,Chrna6
ENSMUSG00000035594,Chrna5
ENSMUSG00000032303,Chrna3
ENSMUSG00000035200,Chrnb4
ENSMUSG00000041189,Chrnb1
ENSMUSG00000014609,Chrne
ENSMUSG00000046159,Chrm3
ENSMUSG00000022041,Chrna2
ENSMUSG00000032773,Chrm1
